name	RunNr	Day1	Month1	Year1	Rain	ETo	GD	CO2	Irri	Infilt	Runoff	Drain	Upflow	E	E/Ex	Tr	TrW	Tr/Trx	SaltIn	SaltOut	SaltUp	SaltProf	Cycle	SaltStr	FertStr	WeedStr	TempStr	ExpStr	StoStr	BioMass	Brelative	HI	Yield	WPet	DayN	MonthN	YearN	prm.file	climate.model	location	rcp	crop	irrigation	soil
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(59)	15	5	2075	1980	336.6	1562.8	717	36	1980	0	1714.6	0	185.8	94	106.8	106.8	100	0	0	0	0	112	0	0	0	7	0	0	18.505	99	30	5.551	1.9	10	9	2075	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(60)	15	5	2076	1921	250.4	1559.7	725	0	1921	0	1713.5	0	128.1	99	78	78	100	0	0	0	0	130	0	0	0	14	0	0	19.279	99	30	5.784	2.83	28	9	2076	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(61)	15	5	2077	1427	284.7	1566.6	733	26.4	1427	0	1226.8	0	151.5	91	83.2	83.2	100	0	0	0	0	119	0	0	0	9	0	0	18.7	99	30	5.61	2.41	17	9	2077	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(62)	15	5	2078	2225.7	264.1	1560.6	742	9.1	2225.7	0	2031.9	0	131.1	86	77.9	77.9	100	0	0	0	0	119	0	0	0	9	0	0	18.795	99	30	5.638	2.72	16	9	2078	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(63)	15	5	2079	1401.6	338	1568.2	750	38.9	1401.6	0	1152.8	0	165.4	86	97.5	97.5	100	0	0	0	0	117	0	0	0	8	0	0	18.597	99	30	5.579	2.13	14	9	2079	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(64)	15	5	2080	1755.9	304.3	1560	758	21.8	1755.9	0	1535.3	0	162.3	93	92.1	92.1	100	0	0	0	0	112	0	0	0	6	0	0	18.517	99	30	5.555	2.2	10	9	2080	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(65)	15	5	2081	1921.8	270.9	1558.7	767	2.3	1921.8	0	1685	0	145.3	98	84.6	84.6	100	0	0	0	0	117	0	0	0	8	0	0	18.695	99	30	5.608	2.45	14	9	2081	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(66)	15	5	2082	1703.7	274.1	1566.2	775	2.4	1703.7	0	1489.8	0	133.1	96	88.7	88.7	100	0	0	0	0	123	0	0	0	10	0	0	18.986	99	30	5.696	2.59	22	9	2082	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(67)	15	5	2083	1391.9	337.9	1557.8	784	40.3	1391.9	0	1162.6	0	187.2	89	93.9	93.9	100	0	0	0	0	110	0	0	0	6	0	-0	18.275	99	30	5.483	1.96	7	9	2083	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(68)	15	5	2084	1766.2	294.6	1563.7	792	4.8	1766.2	0	1512	0	174.6	96	86.9	86.9	100	0	0	0	0	113	0	0	0	7	0	-0	18.306	99	30	5.492	2.12	10	9	2084	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(69)	15	5	2085	1767.2	288	1568.3	801	10.6	1767.2	0	1569.9	0	130.6	80	83	83	100	0	0	0	0	120	0	0	0	10	0	0	18.759	99	30	5.628	2.67	17	9	2085	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
